NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,5,0,0,0,0,1,2,0,2
AUDUBON PARK,16,0,0,1,0,6,8,1,0
BANCROFT,17,0,0,1,2,8,5,1,0
BELTRAMI,1,0,0,0,0,0,1,0,0
BOTTINEAU,6,0,0,1,0,3,2,0,0
BRYANT,9,0,0,1,0,4,3,1,0
BRYN - MAWR,19,0,0,0,0,7,10,2,0
CAMDEN INDUSTRIAL,3,0,0,0,0,0,2,1,0
CARAG,27,0,0,1,2,1,19,4,0
CEDAR - ISLES - DEAN,9,0,0,0,0,2,7,0,0
CEDAR RIVERSIDE,22,0,1,3,2,2,14,0,0
CENTRAL,41,0,0,6,3,6,22,4,0
CLEVELAND,8,0,1,0,1,4,1,1,0
COLUMBIA PARK,10,0,0,0,0,2,8,0,0
COMO,18,0,0,2,1,5,6,4,0
COOPER,22,0,0,0,1,10,11,0,0
CORCORAN,26,0,0,2,2,6,15,1,0
DIAMOND LAKE,11,0,0,0,2,3,6,0,0
DOWNTOWN EAST,9,0,0,1,2,0,6,0,0
DOWNTOWN WEST,248,0,3,22,11,3,195,14,0
EAST HARRIET,16,0,0,0,0,1,14,1,0
EAST ISLES,15,0,0,1,0,3,10,1,0
EAST PHILLIPS,35,0,3,6,4,4,15,2,1
ECCO,16,0,0,0,0,9,5,2,0
ELLIOT PARK,36,0,0,0,14,4,15,3,0
ERICSSON,15,0,1,0,0,9,5,0,0
FIELD,1,0,0,0,0,1,0,0,0
FOLWELL,39,0,1,2,5,19,8,3,1
FULTON,9,0,0,0,0,3,3,0,3
HALE,8,0,0,0,0,3,4,1,0
HARRISON,24,0,0,1,4,5,12,2,0
HAWTHORNE,38,1,0,4,8,9,12,4,0
HIAWATHA,41,0,1,1,0,10,28,1,0
HOLLAND,15,0,1,0,1,3,8,2,0
HOWE,28,0,0,0,1,5,19,3,0
HUMBOLDT INDUSTRIAL AREA,1,0,0,0,0,1,0,0,0
JORDAN,64,0,3,5,10,16,25,3,2
KEEWAYDIN,16,0,0,0,1,4,10,1,0
KENNY,3,0,0,0,0,1,2,0,0
KENWOOD,5,0,1,0,0,1,3,0,0
KING FIELD,13,0,0,1,0,1,8,3,0
LIND - BOHANON,29,1,0,2,2,11,10,3,0
LINDEN HILLS,22,0,0,1,0,2,17,2,0
LOGAN PARK,12,0,0,0,1,4,5,2,0
LONGFELLOW,55,0,2,1,2,5,42,3,0
LORING PARK,50,0,2,6,3,4,29,6,0
LOWRY HILL,25,0,0,0,0,11,14,0,0
LOWRY HILL EAST,51,0,1,2,3,8,32,4,1
LYNDALE,28,0,0,1,2,5,18,2,0
LYNNHURST,8,0,0,0,0,2,3,2,1
MARCY HOLMES,51,0,1,0,3,7,37,3,0
MARSHALL TERRACE,6,0,0,0,0,2,3,1,0
MCKINLEY,33,0,1,3,7,9,8,5,0
MID - CITY INDUSTRIAL,8,0,0,0,0,1,7,0,0
MIDTOWN PHILLIPS,26,1,2,1,3,0,17,2,0
MINNEHAHA,22,0,0,0,0,6,14,2,0
MORRIS PARK,8,0,0,0,0,4,2,1,1
NEAR - NORTH,78,1,2,8,8,15,39,5,0
NICOLLET ISLAND - EAST BANK,9,0,0,0,0,0,8,1,0
NORTH LOOP,31,0,0,3,2,6,19,1,0
NORTHEAST PARK,14,0,1,0,0,1,11,1,0
NORTHROP,17,0,0,0,1,8,7,1,0
PAGE,4,0,0,0,0,2,2,0,0
PHILLIPS WEST,23,0,0,1,5,3,12,2,0
POWDERHORN PARK,34,0,1,2,3,8,15,5,0
PROSPECT PARK - EAST RIVER ROAD,26,0,0,1,0,10,14,1,0
REGINA,4,0,0,0,1,1,2,0,0
SEWARD,38,0,0,5,2,11,17,3,0
SHERIDAN,12,0,0,1,1,5,4,1,0
SHINGLE CREEK,16,0,0,1,2,6,7,0,0
ST. ANTHONY EAST,10,0,0,0,0,2,7,1,0
ST. ANTHONY WEST,16,0,0,0,1,2,12,1,0
STANDISH,29,0,0,1,0,13,12,3,0
STEVENS SQUARE - LORING HEIGHTS,20,0,0,1,1,3,11,4,0
SUMNER - GLENWOOD,8,0,0,0,1,2,4,1,0
TANGLETOWN,7,0,0,0,0,2,4,1,0
UNIVERSITY OF MINNESOTA,4,0,1,0,0,0,3,0,0
VENTURA VILLAGE,48,0,1,6,6,4,28,2,1
VICTORY,14,0,1,1,1,5,5,1,0
WAITE PARK,10,0,0,0,1,2,7,0,0
WEBBER - CAMDEN,33,0,1,2,3,10,14,3,0
WENONAH,17,0,1,0,4,8,4,0,0
WEST CALHOUN,11,0,0,0,0,1,10,0,0
WHITTIER,94,0,0,7,9,15,57,6,0
WILLARD - HAY,43,1,3,5,7,11,13,3,0
WINDOM,19,0,1,1,2,4,11,0,0
WINDOM PARK,14,0,0,1,1,5,6,1,0
