NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,8,0,0,1,1,1,5,0,0
AUDUBON PARK,10,0,0,0,3,2,5,0,0
BANCROFT,9,0,0,0,2,3,3,1,0
BELTRAMI,2,0,0,0,0,1,0,1,0
BOTTINEAU,6,0,0,2,1,1,2,0,0
BRYANT,8,0,0,1,0,2,3,1,1
BRYN - MAWR,1,0,0,0,0,1,0,0,0
CARAG,24,0,0,1,1,1,15,6,0
CEDAR - ISLES - DEAN,7,0,0,0,0,1,6,0,0
CEDAR RIVERSIDE,26,0,0,5,1,4,13,3,0
CENTRAL,33,0,2,4,0,5,10,12,0
CLEVELAND,5,0,0,0,0,1,3,1,0
COLUMBIA PARK,5,0,0,0,0,2,3,0,0
COMO,23,0,1,2,1,6,11,2,0
COOPER,9,0,0,0,1,4,2,2,0
CORCORAN,17,0,2,2,2,3,6,2,0
DIAMOND LAKE,8,0,0,0,0,4,4,0,0
DOWNTOWN EAST,8,0,0,1,0,0,7,0,0
DOWNTOWN WEST,205,0,1,10,10,7,171,6,0
EAST HARRIET,3,0,0,0,0,0,3,0,0
EAST ISLES,14,0,0,1,0,1,9,3,0
EAST PHILLIPS,28,0,0,4,4,3,14,3,0
ECCO,12,0,0,1,0,3,8,0,0
ELLIOT PARK,24,0,1,1,1,3,16,2,0
ERICSSON,5,0,0,0,1,2,2,0,0
FIELD,4,0,0,0,0,3,0,1,0
FOLWELL,47,0,2,3,6,10,16,10,0
FULTON,6,0,0,0,0,1,4,1,0
HALE,7,0,0,0,1,2,4,0,0
HARRISON,22,0,0,3,3,5,6,5,0
HAWTHORNE,41,0,0,4,5,9,18,5,0
HIAWATHA,15,0,1,0,0,6,7,1,0
HOLLAND,13,0,0,1,1,3,8,0,0
HOWE,13,0,0,0,0,5,3,5,0
JORDAN,57,0,2,9,3,16,16,11,0
KEEWAYDIN,5,0,0,0,0,3,1,1,0
KENNY,4,0,0,0,0,3,0,1,0
KENWOOD,5,0,0,0,0,4,1,0,0
KING FIELD,10,0,0,0,0,3,7,0,0
LIND - BOHANON,17,0,0,4,4,7,1,1,0
LINDEN HILLS,5,0,0,0,0,0,5,0,0
LOGAN PARK,6,0,0,0,0,2,2,2,0
LONGFELLOW,43,0,2,1,5,4,30,1,0
LORING PARK,44,0,2,5,4,2,22,9,0
LOWRY HILL,9,0,0,0,0,3,4,2,0
LOWRY HILL EAST,27,0,0,2,0,2,18,5,0
LYNDALE,27,0,1,1,5,4,13,3,0
LYNNHURST,6,0,0,1,0,2,3,0,0
MARCY HOLMES,34,0,1,4,2,7,18,2,0
MARSHALL TERRACE,5,0,0,0,0,2,0,3,0
MCKINLEY,8,0,0,1,0,2,3,2,0
MID - CITY INDUSTRIAL,7,0,0,0,0,1,6,0,0
MIDTOWN PHILLIPS,30,0,0,4,5,4,14,2,1
MINNEHAHA,7,0,1,1,0,2,3,0,0
MORRIS PARK,6,0,0,0,0,5,0,1,0
NEAR - NORTH,55,0,1,2,7,14,21,9,1
NICOLLET ISLAND - EAST BANK,5,0,0,0,0,1,4,0,0
NORTH LOOP,26,0,0,1,3,4,16,2,0
NORTHEAST PARK,9,0,0,0,0,0,9,0,0
NORTHROP,5,0,0,1,0,2,0,2,0
PAGE,3,0,0,0,0,0,3,0,0
PHILLIPS WEST,20,0,0,3,2,0,13,2,0
POWDERHORN PARK,32,0,0,2,2,8,16,4,0
PROSPECT PARK - EAST RIVER ROAD,23,0,0,0,0,4,14,5,0
REGINA,5,0,0,0,0,4,0,1,0
SEWARD,25,0,0,3,2,11,7,2,0
SHERIDAN,8,0,0,2,1,4,1,0,0
SHINGLE CREEK,8,0,1,0,1,1,2,3,0
ST. ANTHONY EAST,9,0,0,2,0,1,3,3,0
ST. ANTHONY WEST,4,0,0,1,0,0,3,0,0
STANDISH,19,0,0,3,0,7,8,1,0
STEVENS SQUARE - LORING HEIGHTS,21,0,1,1,2,3,8,6,0
SUMNER - GLENWOOD,5,0,0,0,0,2,2,1,0
TANGLETOWN,9,0,0,0,1,2,6,0,0
UNIVERSITY OF MINNESOTA,5,0,0,0,0,1,3,1,0
VENTURA VILLAGE,24,0,1,5,4,2,9,3,0
VICTORY,17,0,0,1,2,3,8,3,0
WAITE PARK,6,0,0,0,0,1,4,1,0
WEBBER - CAMDEN,31,0,0,1,3,7,13,7,0
WENONAH,5,0,0,1,4,0,0,0,0
WEST CALHOUN,10,0,0,0,0,1,9,0,0
WHITTIER,82,0,0,7,3,19,42,11,0
WILLARD - HAY,46,0,1,7,2,17,15,4,0
WINDOM,12,0,0,0,1,2,9,0,0
WINDOM PARK,13,0,1,0,1,0,9,1,1
