NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,25,0,1,1,2,8,13,0,0
AUDUBON PARK,36,0,1,0,6,11,18,0,0
BANCROFT,23,0,0,1,5,10,4,3,0
BELTRAMI,14,0,0,1,1,4,5,3,0
BOTTINEAU,19,0,0,3,5,4,7,0,0
BRYANT,26,0,0,2,2,10,8,3,1
BRYN - MAWR,10,0,0,0,0,5,5,0,0
CAMDEN INDUSTRIAL,1,0,0,0,0,1,0,0,0
CARAG,47,0,0,2,3,1,33,8,0
CEDAR - ISLES - DEAN,25,0,0,0,0,3,22,0,0
CEDAR RIVERSIDE,63,0,4,7,5,7,33,7,0
CENTRAL,80,0,2,16,5,13,28,16,0
CLEVELAND,31,0,0,2,4,9,14,2,0
COLUMBIA PARK,13,0,0,0,2,4,6,1,0
COMO,59,0,2,3,3,13,28,10,0
COOPER,20,0,0,0,1,7,9,3,0
CORCORAN,68,0,4,9,4,11,35,5,0
DIAMOND LAKE,29,0,0,0,0,17,12,0,0
DOWNTOWN EAST,23,0,0,2,0,1,19,1,0
DOWNTOWN WEST,558,0,6,44,45,12,436,13,2
EAST HARRIET,17,0,0,0,0,2,14,1,0
EAST ISLES,49,0,1,2,0,5,36,5,0
EAST PHILLIPS,81,0,3,9,15,8,36,10,0
ECCO,31,0,0,1,0,5,25,0,0
ELLIOT PARK,83,0,9,5,4,6,50,9,0
ERICSSON,19,0,0,1,1,4,11,2,0
FIELD,16,0,0,0,0,11,4,1,0
FOLWELL,119,0,3,8,17,38,33,20,0
FULTON,24,0,0,0,0,11,12,1,0
HALE,8,0,0,0,1,2,5,0,0
HARRISON,54,0,2,7,8,11,17,9,0
HAWTHORNE,136,1,2,10,22,32,49,19,1
HIAWATHA,37,0,2,3,1,11,17,3,0
HOLLAND,38,0,2,1,3,16,13,2,1
HOWE,41,0,0,1,2,20,13,5,0
JORDAN,196,1,4,26,17,62,66,19,1
KEEWAYDIN,17,0,0,0,1,7,7,2,0
KENNY,15,0,0,0,0,6,5,4,0
KENWOOD,10,0,0,0,0,7,3,0,0
KING FIELD,40,0,1,3,2,13,15,6,0
LIND - BOHANON,52,0,1,8,10,20,7,6,0
LINDEN HILLS,24,0,0,0,0,5,17,2,0
LOGAN PARK,22,0,0,2,2,4,9,5,0
LONGFELLOW,149,0,3,2,7,12,121,3,1
LORING PARK,119,1,6,10,14,10,62,15,1
LOWRY HILL,27,0,0,0,0,8,14,5,0
LOWRY HILL EAST,94,0,1,7,1,9,67,9,0
LYNDALE,79,0,2,8,9,12,37,10,1
LYNNHURST,19,0,0,1,0,8,9,1,0
MARCY HOLMES,118,0,1,8,5,25,65,14,0
MARSHALL TERRACE,10,0,0,0,0,2,4,4,0
MCKINLEY,60,0,0,6,7,19,18,10,0
MID - CITY INDUSTRIAL,20,0,0,0,1,2,13,3,1
MIDTOWN PHILLIPS,91,0,1,16,12,13,40,8,1
MINNEHAHA,14,0,0,0,0,3,11,0,0
MORRIS PARK,15,0,0,0,2,8,4,1,0
NEAR - NORTH,191,0,3,8,33,36,90,20,1
NICOLLET ISLAND - EAST BANK,33,0,0,1,1,5,24,2,0
NORTH LOOP,76,0,0,3,4,15,46,8,0
NORTHEAST PARK,30,0,0,1,0,4,22,3,0
NORTHROP,19,0,0,1,1,7,6,4,0
PAGE,9,0,0,0,0,4,5,0,0
PHILLIPS WEST,71,0,3,15,10,6,31,5,1
POWDERHORN PARK,97,0,4,9,7,21,42,13,1
PROSPECT PARK - EAST RIVER ROAD,61,0,1,0,3,9,41,6,1
REGINA,21,0,1,1,3,9,5,2,0
SEWARD,78,0,0,7,4,24,32,11,0
SHERIDAN,26,0,0,4,7,8,7,0,0
SHINGLE CREEK,25,0,2,0,2,6,8,7,0
ST. ANTHONY EAST,17,0,0,2,1,2,8,4,0
ST. ANTHONY WEST,15,0,0,3,2,2,7,1,0
STANDISH,58,0,2,8,2,18,24,4,0
STEVENS SQUARE - LORING HEIGHTS,59,0,3,2,5,8,29,12,0
SUMNER - GLENWOOD,14,0,0,1,2,3,5,3,0
TANGLETOWN,31,0,0,0,2,9,18,2,0
UNIVERSITY OF MINNESOTA,11,0,0,0,0,2,7,2,0
VENTURA VILLAGE,95,0,2,23,14,9,36,10,1
VICTORY,45,0,2,5,3,11,19,5,0
WAITE PARK,23,0,0,1,1,3,14,4,0
WEBBER - CAMDEN,84,0,0,7,8,25,34,10,0
WENONAH,22,0,1,3,8,4,5,1,0
WEST CALHOUN,21,0,0,0,0,2,18,1,0
WHITTIER,226,0,5,24,13,35,128,21,0
WILLARD - HAY,129,0,3,13,19,31,47,16,0
WINDOM,38,0,1,3,1,10,23,0,0
WINDOM PARK,39,0,1,2,2,10,19,4,1
