NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,7,0,0,0,0,2,5,0,0
AUDUBON PARK,16,1,0,3,1,5,5,1,0
BANCROFT,10,0,0,0,0,4,5,1,0
BELTRAMI,6,0,0,0,0,0,4,1,1
BOTTINEAU,15,0,0,2,1,6,4,2,0
BRYANT,7,0,0,0,2,2,3,0,0
BRYN - MAWR,10,0,0,0,1,1,7,1,0
CAMDEN INDUSTRIAL,2,0,0,1,0,1,0,0,0
CARAG,32,0,1,0,0,2,26,3,0
CEDAR - ISLES - DEAN,17,0,0,0,1,2,12,2,0
CEDAR RIVERSIDE,39,0,0,5,4,5,24,1,0
CENTRAL,48,0,0,7,2,7,20,12,0
CLEVELAND,13,0,0,0,1,4,6,2,0
COLUMBIA PARK,5,0,0,1,1,1,2,0,0
COMO,24,0,0,0,0,8,14,2,0
COOPER,10,0,0,0,0,7,3,0,0
CORCORAN,32,1,0,9,1,3,15,3,0
DIAMOND LAKE,4,0,0,0,1,0,3,0,0
DOWNTOWN EAST,9,0,1,0,0,0,8,0,0
DOWNTOWN WEST,195,0,1,15,13,1,157,8,0
EAST HARRIET,10,0,0,1,0,2,7,0,0
EAST ISLES,19,0,0,0,0,6,13,0,0
EAST PHILLIPS,34,0,3,8,3,9,9,2,0
ECCO,18,0,0,0,0,0,15,3,0
ELLIOT PARK,33,0,2,3,3,5,19,1,0
ERICSSON,10,0,0,0,0,3,7,0,0
FIELD,3,0,0,0,0,1,2,0,0
FOLWELL,30,0,2,3,6,11,4,2,2
FULTON,7,0,0,0,0,2,5,0,0
HALE,1,0,0,0,0,0,1,0,0
HARRISON,18,0,0,7,1,4,5,1,0
HAWTHORNE,56,0,0,13,4,19,13,7,0
HIAWATHA,22,0,0,0,2,6,11,3,0
HOLLAND,20,0,0,0,4,9,7,0,0
HOWE,23,0,0,1,2,13,4,3,0
HUMBOLDT INDUSTRIAL AREA,2,0,0,0,0,1,1,0,0
JORDAN,73,0,0,10,13,21,25,4,0
KEEWAYDIN,5,0,0,0,0,2,3,0,0
KENNY,5,0,1,0,0,1,3,0,0
KENWOOD,1,0,0,0,0,1,0,0,0
KING FIELD,17,0,0,1,1,2,11,1,1
LIND - BOHANON,19,0,0,0,3,8,6,1,1
LINDEN HILLS,19,0,0,1,0,0,18,0,0
LOGAN PARK,9,0,0,3,0,0,6,0,0
LONGFELLOW,56,0,0,3,2,11,37,3,0
LORING PARK,37,0,0,3,6,4,21,3,0
LOWRY HILL,13,0,0,0,1,4,8,0,0
LOWRY HILL EAST,49,0,0,5,2,10,30,2,0
LYNDALE,39,0,1,5,2,8,19,4,0
LYNNHURST,8,0,0,0,0,1,6,1,0
MARCY HOLMES,54,0,0,2,2,9,38,3,0
MARSHALL TERRACE,10,0,0,0,0,4,5,1,0
MCKINLEY,27,0,1,1,5,7,9,3,1
MID - CITY INDUSTRIAL,3,0,0,0,0,1,1,1,0
MIDTOWN PHILLIPS,38,0,0,2,13,2,18,3,0
MINNEHAHA,11,0,0,0,1,1,9,0,0
MORRIS PARK,1,0,0,0,0,1,0,0,0
NEAR - NORTH,49,0,2,9,5,4,27,1,1
NICOLLET ISLAND - EAST BANK,9,0,0,0,1,1,6,1,0
NORTH LOOP,25,0,0,1,3,3,15,3,0
NORTHEAST PARK,8,0,0,0,0,3,5,0,0
NORTHROP,9,0,0,0,1,3,5,0,0
PAGE,1,0,0,0,0,1,0,0,0
PHILLIPS WEST,23,0,0,5,3,1,12,2,0
POWDERHORN PARK,41,0,0,3,2,11,17,8,0
PROSPECT PARK - EAST RIVER ROAD,25,0,0,1,4,3,17,0,0
REGINA,6,0,0,0,1,1,4,0,0
SEWARD,63,0,1,7,2,12,35,6,0
SHERIDAN,12,0,0,0,1,3,6,2,0
SHINGLE CREEK,9,0,1,1,1,5,1,0,0
ST. ANTHONY EAST,9,0,0,0,2,1,6,0,0
ST. ANTHONY WEST,9,0,0,0,0,0,8,1,0
STANDISH,24,0,0,1,0,4,18,1,0
STEVENS SQUARE - LORING HEIGHTS,29,0,1,2,2,5,18,1,0
SUMNER - GLENWOOD,6,0,0,0,1,1,3,1,0
TANGLETOWN,11,0,0,0,1,3,6,1,0
UNIVERSITY OF MINNESOTA,11,0,1,0,0,3,5,2,0
VENTURA VILLAGE,45,0,2,7,5,4,23,4,0
VICTORY,10,0,0,1,0,7,1,1,0
WAITE PARK,8,0,0,0,2,1,5,0,0
WEBBER - CAMDEN,24,0,0,3,1,7,10,2,1
WENONAH,9,0,0,0,2,5,1,0,1
WEST CALHOUN,1,0,0,0,0,0,1,0,0
WHITTIER,78,0,0,7,2,9,49,11,0
WILLARD - HAY,41,0,1,4,7,9,16,4,0
WINDOM,17,0,1,0,2,1,12,1,0
WINDOM PARK,13,0,0,0,1,2,8,2,0
