NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,12,0,0,0,3,5,4,0,0
AUDUBON PARK,23,0,0,0,0,3,17,3,0
BANCROFT,12,0,0,1,1,6,3,1,0
BELTRAMI,4,0,0,0,0,1,3,0,0
BOTTINEAU,9,0,0,1,0,3,4,1,0
BRYANT,15,0,0,4,1,4,6,0,0
BRYN - MAWR,11,0,0,0,0,1,10,0,0
CAMDEN INDUSTRIAL,2,0,0,0,1,0,1,0,0
CARAG,28,0,0,2,0,4,21,1,0
CEDAR - ISLES - DEAN,18,0,0,0,1,3,12,1,1
CEDAR RIVERSIDE,23,0,0,3,3,0,16,1,0
CENTRAL,48,0,0,6,4,16,18,4,0
CLEVELAND,13,0,0,0,3,4,3,3,0
COLUMBIA PARK,5,0,0,0,0,0,5,0,0
COMO,29,0,0,2,0,11,13,3,0
COOPER,8,0,0,0,0,3,5,0,0
CORCORAN,32,0,0,2,1,8,17,4,0
DIAMOND LAKE,9,0,0,0,0,5,4,0,0
DOWNTOWN EAST,14,0,0,0,1,1,12,0,0
DOWNTOWN WEST,224,0,6,18,14,6,174,6,0
EAST HARRIET,24,0,1,0,0,6,15,2,0
EAST ISLES,33,0,0,2,1,5,24,1,0
EAST PHILLIPS,24,0,0,3,5,4,10,1,1
ECCO,16,0,0,1,0,5,10,0,0
ELLIOT PARK,39,0,2,2,5,3,21,6,0
ERICSSON,9,0,0,1,1,4,3,0,0
FIELD,4,0,0,0,0,3,0,1,0
FOLWELL,43,1,1,9,9,9,8,6,0
FULTON,11,0,0,0,0,2,8,1,0
HALE,4,0,0,0,0,2,2,0,0
HARRISON,19,0,1,3,3,7,3,2,0
HAWTHORNE,46,1,1,7,9,7,15,6,0
HIAWATHA,23,0,1,0,0,6,14,0,2
HOLLAND,24,0,0,1,2,7,14,0,0
HOWE,20,0,0,0,0,4,15,1,0
HUMBOLDT INDUSTRIAL AREA,1,0,0,0,0,0,0,1,0
JORDAN,47,0,3,4,12,12,7,7,2
KEEWAYDIN,14,0,0,0,0,10,4,0,0
KENNY,4,0,0,0,0,3,1,0,0
KENWOOD,5,0,0,0,0,1,4,0,0
KING FIELD,35,0,3,0,1,11,20,0,0
LIND - BOHANON,28,0,0,4,3,8,11,2,0
LINDEN HILLS,10,0,0,1,0,4,5,0,0
LOGAN PARK,12,0,0,0,0,6,6,0,0
LONGFELLOW,83,0,0,3,9,6,59,3,3
LORING PARK,40,0,1,5,2,2,29,1,0
LOWRY HILL,16,0,0,1,0,3,11,1,0
LOWRY HILL EAST,59,0,0,3,1,10,36,9,0
LYNDALE,33,0,0,2,4,2,21,3,1
LYNNHURST,15,0,0,1,1,5,6,2,0
MARCY HOLMES,60,0,0,3,0,11,39,6,1
MARSHALL TERRACE,10,0,0,1,1,6,2,0,0
MCKINLEY,16,0,0,0,2,5,4,3,2
MID - CITY INDUSTRIAL,5,0,1,0,0,1,3,0,0
MIDTOWN PHILLIPS,50,0,1,2,11,8,27,0,1
MINNEHAHA,15,0,0,0,0,5,10,0,0
MORRIS PARK,9,0,0,0,0,5,4,0,0
NEAR - NORTH,45,0,2,4,4,5,26,4,0
NICOLLET ISLAND - EAST BANK,6,0,0,0,0,0,6,0,0
NORTH LOOP,27,0,0,3,4,1,17,2,0
NORTHEAST PARK,14,0,0,1,0,0,13,0,0
NORTHROP,17,0,0,1,0,8,5,2,1
PAGE,2,0,0,0,0,0,2,0,0
PHILLIPS WEST,29,0,0,3,1,3,20,2,0
POWDERHORN PARK,51,0,0,8,4,13,19,7,0
PROSPECT PARK - EAST RIVER ROAD,20,0,0,2,1,6,9,2,0
REGINA,12,0,1,1,0,2,7,1,0
SEWARD,31,0,1,2,2,5,16,5,0
SHERIDAN,15,0,0,0,0,6,6,3,0
SHINGLE CREEK,7,0,0,0,0,4,2,1,0
ST. ANTHONY EAST,9,0,0,0,0,3,5,1,0
ST. ANTHONY WEST,10,0,0,1,0,3,5,1,0
STANDISH,31,0,0,1,1,12,15,2,0
STEVENS SQUARE - LORING HEIGHTS,30,0,0,1,0,4,23,1,1
SUMNER - GLENWOOD,5,0,1,0,0,1,1,2,0
TANGLETOWN,19,0,0,1,0,14,4,0,0
UNIVERSITY OF MINNESOTA,12,0,0,0,2,0,8,2,0
VENTURA VILLAGE,59,2,1,11,6,2,27,9,1
VICTORY,15,0,0,2,1,5,6,1,0
WAITE PARK,15,0,0,0,0,4,11,0,0
WEBBER - CAMDEN,29,0,0,5,4,6,12,2,0
WENONAH,24,0,0,2,3,9,8,2,0
WEST CALHOUN,4,0,0,0,0,0,4,0,0
WHITTIER,97,0,0,8,2,17,62,7,1
WILLARD - HAY,46,1,0,4,12,11,12,6,0
WINDOM,21,0,0,2,2,5,11,1,0
WINDOM PARK,18,0,0,0,1,4,13,0,0
