NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,7,0,0,0,0,2,5,0,0
AUDUBON PARK,12,0,0,0,1,6,5,0,0
BANCROFT,6,0,0,1,0,3,0,2,0
BELTRAMI,5,0,0,0,0,2,2,1,0
BOTTINEAU,5,0,0,0,1,1,3,0,0
BRYANT,9,0,0,1,0,6,1,1,0
BRYN - MAWR,6,0,0,0,0,3,3,0,0
CARAG,9,0,0,0,2,0,6,1,0
CEDAR - ISLES - DEAN,5,0,0,0,0,0,5,0,0
CEDAR RIVERSIDE,17,0,1,1,2,2,8,3,0
CENTRAL,19,0,0,2,2,5,8,2,0
CLEVELAND,12,0,0,1,0,6,4,1,0
COLUMBIA PARK,4,0,0,0,0,2,2,0,0
COMO,18,0,1,1,1,3,9,3,0
COOPER,3,0,0,0,0,1,2,0,0
CORCORAN,26,0,1,4,1,3,16,1,0
DIAMOND LAKE,10,0,0,0,0,7,3,0,0
DOWNTOWN EAST,5,0,0,0,0,1,3,1,0
DOWNTOWN WEST,143,0,3,13,14,2,106,4,1
EAST HARRIET,7,0,0,0,0,1,5,1,0
EAST ISLES,14,0,0,0,0,3,9,2,0
EAST PHILLIPS,28,0,2,0,5,3,13,5,0
ECCO,7,0,0,0,0,2,5,0,0
ELLIOT PARK,26,0,1,2,3,0,15,5,0
ERICSSON,3,0,0,0,0,0,3,0,0
FIELD,6,0,0,0,0,3,3,0,0
FOLWELL,32,0,0,1,4,14,10,3,0
FULTON,7,0,0,0,0,2,5,0,0
HALE,1,0,0,0,0,0,1,0,0
HARRISON,13,0,0,3,3,2,4,1,0
HAWTHORNE,40,0,0,5,9,6,13,7,0
HIAWATHA,11,0,0,1,1,2,6,1,0
HOLLAND,12,0,0,0,1,7,2,1,1
HOWE,10,0,0,0,2,6,2,0,0
JORDAN,56,0,0,4,7,19,23,2,1
KEEWAYDIN,4,0,0,0,1,1,2,0,0
KENNY,8,0,0,0,0,2,5,1,0
KENWOOD,2,0,0,0,0,1,1,0,0
KING FIELD,15,0,1,2,1,5,3,3,0
LIND - BOHANON,15,0,0,1,2,6,4,2,0
LINDEN HILLS,8,0,0,0,0,2,4,2,0
LOGAN PARK,11,0,0,2,2,2,4,1,0
LONGFELLOW,45,0,1,0,0,4,40,0,0
LORING PARK,27,1,2,0,3,3,15,3,0
LOWRY HILL,10,0,0,0,0,3,4,3,0
LOWRY HILL EAST,19,0,1,2,1,0,14,1,0
LYNDALE,28,0,1,6,2,3,12,4,0
LYNNHURST,6,0,0,0,0,1,4,1,0
MARCY HOLMES,29,0,0,2,1,6,13,7,0
MARSHALL TERRACE,1,0,0,0,0,0,1,0,0
MCKINLEY,25,0,0,1,4,8,7,5,0
MID - CITY INDUSTRIAL,4,0,0,0,0,0,3,1,0
MIDTOWN PHILLIPS,27,0,1,4,3,4,10,5,0
MINNEHAHA,5,0,0,0,0,0,5,0,0
MORRIS PARK,1,0,0,0,0,0,1,0,0
NEAR - NORTH,62,0,0,2,8,11,36,5,0
NICOLLET ISLAND - EAST BANK,8,0,0,0,1,1,5,1,0
NORTH LOOP,22,0,0,1,1,5,12,3,0
NORTHEAST PARK,9,0,0,1,0,1,5,2,0
NORTHROP,5,0,0,0,0,1,3,1,0
PAGE,1,0,0,0,0,1,0,0,0
PHILLIPS WEST,18,0,2,4,5,2,4,1,0
POWDERHORN PARK,35,0,3,4,4,6,12,6,0
PROSPECT PARK - EAST RIVER ROAD,18,0,0,0,3,1,13,0,1
REGINA,3,0,0,0,0,2,1,0,0
SEWARD,28,0,0,2,1,7,14,4,0
SHERIDAN,7,0,0,1,3,1,2,0,0
SHINGLE CREEK,7,0,0,0,0,2,2,3,0
ST. ANTHONY EAST,3,0,0,0,0,0,3,0,0
ST. ANTHONY WEST,5,0,0,1,1,1,2,0,0
STANDISH,11,0,2,1,1,3,3,1,0
STEVENS SQUARE - LORING HEIGHTS,15,0,2,0,2,1,6,4,0
SUMNER - GLENWOOD,4,0,0,0,1,1,0,2,0
TANGLETOWN,12,0,0,0,0,4,6,2,0
UNIVERSITY OF MINNESOTA,3,0,0,0,0,0,2,1,0
VENTURA VILLAGE,28,0,1,6,6,2,9,3,1
VICTORY,10,0,1,2,0,3,3,1,0
WAITE PARK,4,0,0,0,0,0,4,0,0
WEBBER - CAMDEN,25,0,0,4,2,8,10,1,0
WENONAH,7,0,0,0,2,2,2,1,0
WEST CALHOUN,4,0,0,0,0,1,3,0,0
WHITTIER,61,0,2,9,4,7,33,6,0
WILLARD - HAY,41,0,2,3,5,7,17,7,0
WINDOM,13,0,0,1,0,3,9,0,0
WINDOM PARK,11,0,0,2,1,4,3,1,0
,,,,,,,,,
