NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,8,0,0,0,2,4,2,0,0
AUDUBON PARK,19,0,0,1,0,8,9,1,0
BANCROFT,15,0,0,1,0,9,3,2,0
BELTRAMI,5,0,0,0,2,1,2,0,0
BOTTINEAU,9,0,0,0,0,1,8,0,0
BRYANT,11,0,1,2,0,2,5,1,0
BRYN - MAWR,11,0,0,0,0,3,7,1,0
CAMDEN INDUSTRIAL,2,0,0,0,0,0,1,1,0
CARAG,21,0,0,1,1,6,12,1,0
CEDAR - ISLES - DEAN,9,0,0,0,0,0,9,0,0
CEDAR RIVERSIDE,40,0,2,1,3,4,25,4,1
CENTRAL,39,0,0,7,1,9,21,1,0
CLEVELAND,26,0,1,6,4,6,7,2,0
COLUMBIA PARK,6,0,0,1,0,3,2,0,0
COMO,36,0,1,1,1,6,24,3,0
COOPER,10,0,0,1,0,3,5,1,0
CORCORAN,34,0,1,8,1,7,16,1,0
DIAMOND LAKE,6,0,0,0,1,1,3,1,0
DOWNTOWN EAST,13,0,0,0,0,0,11,2,0
DOWNTOWN WEST,186,0,1,15,13,3,146,8,0
EAST HARRIET,16,0,2,0,0,0,14,0,0
EAST ISLES,22,0,0,0,0,1,19,2,0
EAST PHILLIPS,23,0,0,1,3,6,11,2,0
ECCO,11,0,0,0,0,0,11,0,0
ELLIOT PARK,54,0,3,3,5,1,33,9,0
ERICSSON,8,0,0,0,0,2,6,0,0
FIELD,13,0,0,0,0,8,4,1,0
FOLWELL,43,0,3,5,3,18,5,8,1
FULTON,9,0,0,0,0,0,9,0,0
HALE,8,0,0,0,1,1,6,0,0
HARRISON,20,0,1,2,3,5,6,3,0
HAWTHORNE,33,0,0,3,3,8,17,2,0
HIAWATHA,29,0,0,0,1,9,17,1,1
HOLLAND,25,0,0,3,2,9,8,3,0
HOWE,15,0,0,1,2,6,5,1,0
HUMBOLDT INDUSTRIAL AREA,1,0,0,0,0,0,1,0,0
JORDAN,53,0,2,7,6,21,11,6,0
KEEWAYDIN,17,0,0,2,0,4,9,2,0
KENNY,3,0,0,0,0,1,2,0,0
KENWOOD,2,0,0,0,0,1,1,0,0
KING FIELD,25,0,0,2,1,6,13,3,0
LIND - BOHANON,21,0,1,0,3,10,3,4,0
LINDEN HILLS,12,0,0,1,0,2,8,1,0
LOGAN PARK,8,0,0,1,0,2,4,0,1
LONGFELLOW,49,0,1,2,0,6,39,0,1
LORING PARK,33,0,0,4,2,1,25,1,0
LOWRY HILL,19,0,0,0,0,7,7,4,1
LOWRY HILL EAST,45,0,1,2,0,3,36,3,0
LYNDALE,39,0,3,2,2,6,23,3,0
LYNNHURST,10,0,0,0,0,5,5,0,0
MARCY HOLMES,64,0,0,3,0,11,46,4,0
MARSHALL TERRACE,9,0,0,0,0,1,7,1,0
MCKINLEY,24,0,1,3,2,12,3,2,1
MID - CITY INDUSTRIAL,5,0,0,0,0,1,4,0,0
MIDTOWN PHILLIPS,49,0,0,9,1,4,32,3,0
MINNEHAHA,9,0,1,0,1,2,5,0,0
MORRIS PARK,5,0,0,0,0,2,1,2,0
NEAR - NORTH,58,2,0,10,5,10,25,5,2
NICOLLET ISLAND - EAST BANK,6,0,0,0,0,0,6,0,0
NORTH LOOP,33,0,1,2,0,9,19,2,0
NORTHEAST PARK,10,0,0,1,0,2,7,0,0
NORTHROP,13,0,0,1,0,3,8,1,0
PAGE,2,0,0,0,0,1,1,0,0
PHILLIPS WEST,36,0,0,2,1,3,28,2,0
POWDERHORN PARK,43,0,1,8,4,6,23,1,0
PROSPECT PARK - EAST RIVER ROAD,49,0,1,1,0,5,38,4,0
REGINA,10,0,0,1,1,5,3,0,0
SEWARD,49,0,2,1,0,12,28,6,0
SHERIDAN,13,0,0,0,1,0,11,1,0
SHINGLE CREEK,11,0,0,0,1,3,4,3,0
ST. ANTHONY EAST,10,0,0,0,1,5,3,1,0
ST. ANTHONY WEST,9,0,1,0,0,2,4,2,0
STANDISH,24,0,0,1,2,11,10,0,0
STEVENS SQUARE - LORING HEIGHTS,31,0,0,2,2,2,19,6,0
SUMNER - GLENWOOD,3,0,0,0,0,0,3,0,0
TANGLETOWN,20,0,0,0,0,9,11,0,0
UNIVERSITY OF MINNESOTA,5,0,0,1,0,0,4,0,0
VENTURA VILLAGE,53,0,0,6,4,11,29,3,0
VICTORY,24,0,0,0,0,12,9,3,0
WAITE PARK,15,0,1,0,0,9,4,1,0
WEBBER - CAMDEN,60,0,2,4,5,29,15,5,0
WENONAH,11,0,0,1,1,5,3,1,0
WEST CALHOUN,8,0,0,1,0,0,7,0,0
WHITTIER,105,0,3,8,7,11,63,13,0
WILLARD - HAY,65,1,0,7,5,35,11,6,0
WINDOM,17,0,1,1,0,4,11,0,0
WINDOM PARK,18,0,0,3,1,1,11,2,0
