NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,2,0,0,1,0,0,1,0,0
AUDUBON PARK,19,0,0,1,0,3,13,2,0
BANCROFT,10,1,1,0,2,3,2,1,0
BELTRAMI,6,0,0,0,0,2,3,1,0
BOTTINEAU,11,0,0,1,1,5,4,0,0
BRYANT,12,0,0,2,2,4,4,0,0
BRYN - MAWR,14,0,0,0,0,3,11,0,0
CAMDEN INDUSTRIAL,3,0,0,1,2,0,0,0,0
CARAG,28,0,1,1,1,3,18,4,0
CEDAR - ISLES - DEAN,17,0,0,0,0,3,13,1,0
CEDAR RIVERSIDE,26,0,0,0,3,1,19,3,0
CENTRAL,45,0,1,6,8,7,14,9,0
CLEVELAND,21,0,0,1,1,9,7,2,1
COLUMBIA PARK,7,0,0,0,2,0,4,1,0
COMO,19,0,0,1,0,5,9,4,0
COOPER,11,0,0,0,1,4,5,1,0
CORCORAN,32,0,0,2,0,8,18,4,0
DIAMOND LAKE,11,0,0,2,0,3,5,1,0
DOWNTOWN EAST,9,0,0,1,0,2,4,2,0
DOWNTOWN WEST,231,0,8,23,14,11,170,5,0
EAST HARRIET,18,0,2,1,0,4,8,3,0
EAST ISLES,22,0,0,0,0,6,13,3,0
EAST PHILLIPS,37,0,1,7,11,3,12,1,2
ECCO,15,0,0,0,0,7,8,0,0
ELLIOT PARK,53,0,2,3,6,1,38,3,0
ERICSSON,11,0,0,1,0,4,5,1,0
FIELD,16,0,0,0,0,14,0,2,0
FOLWELL,47,0,0,8,6,21,10,2,0
FULTON,8,0,0,1,0,1,6,0,0
HALE,5,0,0,0,0,2,2,1,0
HARRISON,15,1,0,1,1,2,8,1,1
HAWTHORNE,39,0,0,1,5,14,17,2,0
HIAWATHA,20,0,0,0,1,4,13,2,0
HOLLAND,29,0,0,1,1,7,16,3,1
HOWE,22,0,0,3,2,5,9,3,0
JORDAN,67,0,2,9,9,20,21,6,0
KEEWAYDIN,15,0,0,0,0,6,9,0,0
KENNY,7,0,0,0,0,5,2,0,0
KENWOOD,12,0,0,0,0,10,2,0,0
KING FIELD,35,0,1,1,1,11,16,5,0
LIND - BOHANON,31,0,1,2,3,11,9,5,0
LINDEN HILLS,43,0,0,0,0,12,30,1,0
LOGAN PARK,14,0,1,1,1,4,5,2,0
LONGFELLOW,69,0,2,3,4,7,52,1,0
LORING PARK,35,0,2,6,2,1,23,1,0
LOWRY HILL,17,0,0,1,0,8,8,0,0
LOWRY HILL EAST,46,0,0,2,1,10,26,7,0
LYNDALE,23,0,1,3,2,2,13,2,0
LYNNHURST,31,0,0,0,0,22,9,0,0
MARCY HOLMES,70,0,0,1,1,18,45,5,0
MARSHALL TERRACE,4,0,0,0,0,3,1,0,0
MCKINLEY,29,0,0,4,5,10,7,3,0
MID - CITY INDUSTRIAL,2,0,0,0,0,0,2,0,0
MIDTOWN PHILLIPS,47,0,0,5,5,4,28,5,0
MINNEHAHA,14,0,0,0,0,5,9,0,0
MORRIS PARK,9,0,0,0,0,6,3,0,0
NEAR - NORTH,56,0,2,4,8,9,28,5,0
NICOLLET ISLAND - EAST BANK,18,0,0,0,0,4,13,1,0
NORTH LOOP,28,0,0,3,2,0,23,0,0
NORTHEAST PARK,8,0,0,0,0,0,8,0,0
NORTHROP,17,0,0,1,0,6,7,3,0
PAGE,9,0,0,0,0,4,4,0,1
PHILLIPS WEST,34,0,1,5,0,5,20,3,0
POWDERHORN PARK,60,0,0,18,5,10,21,6,0
PROSPECT PARK - EAST RIVER ROAD,24,0,0,1,2,7,11,3,0
REGINA,5,0,1,0,0,3,1,0,0
SEWARD,45,0,0,3,5,14,16,6,1
SHERIDAN,12,0,0,1,0,0,10,1,0
SHINGLE CREEK,14,0,0,3,1,2,6,1,1
ST. ANTHONY EAST,9,0,0,1,0,4,3,1,0
ST. ANTHONY WEST,10,0,0,0,0,2,8,0,0
STANDISH,27,0,1,2,1,6,15,2,0
STEVENS SQUARE - LORING HEIGHTS,24,0,1,2,1,3,14,3,0
SUMNER - GLENWOOD,6,0,0,1,1,0,2,2,0
TANGLETOWN,18,0,0,0,1,9,7,1,0
UNIVERSITY OF MINNESOTA,12,0,0,0,0,0,10,2,0
VENTURA VILLAGE,35,0,0,8,3,2,17,4,1
VICTORY,14,0,1,0,1,2,10,0,0
WAITE PARK,17,0,1,1,2,4,9,0,0
WEBBER - CAMDEN,27,0,0,2,4,8,9,4,0
WENONAH,23,0,0,0,3,12,6,1,1
WEST CALHOUN,6,0,0,0,0,2,4,0,0
WHITTIER,109,0,1,9,9,23,60,7,0
WILLARD - HAY,50,0,1,2,10,9,22,2,4
WINDOM,20,0,1,4,0,3,9,3,0
WINDOM PARK,17,0,0,1,1,5,7,2,1
,,,,,,,,,
,,,,,,,,,
