NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,2,0,0,0,0,0,1,1,0
AUDUBON PARK,25,0,0,2,0,14,6,3,0
BANCROFT,11,0,0,0,1,3,6,1,0
BELTRAMI,12,0,0,1,0,4,6,0,1
BOTTINEAU,9,0,0,1,0,0,7,0,1
BRYANT,9,0,0,0,0,3,4,2,0
BRYN - MAWR,13,5,0,0,1,2,4,1,0
CAMDEN INDUSTRIAL,2,0,0,0,1,0,1,0,0
CARAG,18,0,0,0,2,3,11,2,0
CEDAR - ISLES - DEAN,11,0,0,0,0,1,10,0,0
CEDAR RIVERSIDE,32,0,0,1,4,6,19,2,0
CENTRAL,34,0,1,7,6,3,12,5,0
CLEVELAND,23,0,1,5,4,6,6,1,0
COLUMBIA PARK,2,0,0,0,1,0,1,0,0
COMO,27,0,0,0,1,5,20,1,0
COOPER,7,0,0,0,0,4,3,0,0
CORCORAN,26,0,0,3,0,3,19,1,0
DIAMOND LAKE,6,0,0,0,0,3,2,1,0
DOWNTOWN EAST,12,0,0,0,0,0,12,0,0
DOWNTOWN WEST,191,0,1,17,16,3,148,6,0
EAST HARRIET,13,0,0,0,0,1,10,2,0
EAST ISLES,18,0,0,1,0,4,13,0,0
EAST PHILLIPS,34,0,0,7,4,8,13,1,1
ECCO,14,0,0,0,0,2,11,1,0
ELLIOT PARK,44,0,1,5,4,4,22,8,0
ERICSSON,10,0,0,0,0,2,7,1,0
FOLWELL,50,0,0,6,6,16,17,4,1
FULTON,7,0,0,0,0,0,7,0,0
HALE,5,0,0,0,0,1,4,0,0
HARRISON,19,0,0,2,2,1,10,3,1
HAWTHORNE,46,0,1,7,5,18,11,4,0
HIAWATHA,30,0,0,0,0,11,19,0,0
HOLLAND,23,0,1,1,4,8,8,0,1
HOWE,27,0,0,1,0,9,15,2,0
JORDAN,71,0,3,3,9,21,20,15,0
KEEWAYDIN,11,0,0,0,0,6,4,1,0
KENNY,8,0,0,0,0,1,6,1,0
KENWOOD,3,0,0,0,0,0,3,0,0
KING FIELD,15,0,0,0,2,8,5,0,0
LIND - BOHANON,30,0,0,3,4,15,7,1,0
LINDEN HILLS,10,0,0,0,1,1,8,0,0
LOGAN PARK,7,0,0,0,0,1,5,1,0
LONGFELLOW,57,0,3,4,3,7,38,2,0
LORING PARK,42,0,1,3,1,6,26,5,0
LOWRY HILL,18,0,1,0,1,4,9,3,0
LOWRY HILL EAST,39,0,0,4,3,11,16,5,0
LYNDALE,25,0,0,2,1,2,15,5,0
LYNNHURST,14,0,0,0,0,8,5,1,0
MARCY HOLMES,74,0,2,6,1,15,40,10,0
MARSHALL TERRACE,7,0,0,0,2,1,4,0,0
MCKINLEY,24,0,0,0,2,9,8,5,0
MID - CITY INDUSTRIAL,8,0,1,0,0,2,5,0,0
MIDTOWN PHILLIPS,43,0,0,2,2,6,29,3,1
MINNEHAHA,15,0,0,1,0,4,8,2,0
MORRIS PARK,15,0,0,0,0,11,4,0,0
NEAR - NORTH,67,1,2,0,9,7,44,4,0
NICOLLET ISLAND - EAST BANK,13,0,1,0,0,0,12,0,0
NORTH LOOP,36,0,0,3,1,5,24,3,0
NORTHEAST PARK,8,0,0,0,0,1,7,0,0
NORTHROP,12,0,0,0,0,4,8,0,0
PAGE,7,0,0,0,0,3,4,0,0
PHILLIPS WEST,35,0,0,3,3,6,20,3,0
POWDERHORN PARK,40,0,0,8,4,8,16,4,0
PROSPECT PARK - EAST RIVER ROAD,38,0,0,0,1,9,25,3,0
REGINA,15,0,0,1,0,4,7,3,0
SEWARD,31,0,0,5,4,5,11,6,0
SHERIDAN,10,0,0,0,1,1,6,2,0
SHINGLE CREEK,4,0,0,0,0,4,0,0,0
ST. ANTHONY EAST,6,0,0,0,0,0,5,1,0
ST. ANTHONY WEST,9,0,0,0,0,3,3,3,0
STANDISH,18,0,0,1,1,8,6,2,0
STEVENS SQUARE - LORING HEIGHTS,26,0,0,2,0,2,18,4,0
SUMNER - GLENWOOD,6,0,0,0,1,0,2,3,0
TANGLETOWN,15,0,0,1,0,3,10,1,0
UNIVERSITY OF MINNESOTA,8,0,1,0,1,2,4,0,0
VENTURA VILLAGE,55,0,0,7,6,5,33,4,0
VICTORY,17,0,0,1,1,7,6,2,0
WAITE PARK,24,0,0,0,0,13,11,0,0
WEBBER - CAMDEN,40,0,0,3,7,10,18,2,0
WENONAH,13,0,0,1,2,6,4,0,0
WEST CALHOUN,14,0,0,0,0,4,10,0,0
WHITTIER,89,0,1,5,6,21,42,13,1
WILLARD - HAY,51,0,1,3,7,17,16,4,3
WINDOM,20,0,0,0,2,7,10,1,0
WINDOM PARK,25,0,0,2,0,8,14,1,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
