NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,2,,,,,1,1,,
AUDUBON PARK,8,,,,,4,3,1,
BANCROFT,12,,,,2,4,3,3,
BELTRAMI,4,,,,,2,2,,
BOTTINEAU,7,,,,,1,5,1,
BRYANT,8,,,,,3,3,2,
BRYN - MAWR,5,,,,,2,1,2,
CAMDEN INDUSTRIAL,1,,,1,,,,,
CARAG,22,,,1,1,5,14,1,
CEDAR - ISLES - DEAN,10,,,,,2,7,1,
CEDAR RIVERSIDE,15,1,,,3,,9,2,
CENTRAL,32,,1,2,2,4,19,4,
CLEVELAND,14,,,,1,8,5,,
COLUMBIA PARK,14,,,,,9,5,,
COMO,17,,,2,2,8,3,2,
COOPER,8,,,,,6,1,1,
CORCORAN,20,,,,3,5,11,1,
DIAMOND LAKE,6,,,,,3,3,,
DOWNTOWN EAST,18,,1,1,1,1,13,1,
DOWNTOWN WEST,234,,2,21,14,,186,11,
EAST HARRIET,3,,,,,,2,1,
EAST ISLES,13,,,,,,8,5,
EAST PHILLIPS,30,,1,6,6,6,11,,
ECCO,18,,1,,,3,12,2,
ELLIOT PARK,44,,,3,2,7,28,4,
ERICSSON,6,,,,,5,,1,
FIELD,5,,,,,3,2,,
FOLWELL,44,,,4,2,22,12,4,
FULTON,8,,,,,3,5,,
HALE,5,,,,,4,1,,
HARRISON,19,,,3,1,9,2,4,
HAWTHORNE,39,,,4,2,8,18,7,
HIAWATHA,18,,,,,3,15,,
HOLLAND,14,,,1,2,4,7,,
HOWE,24,,1,2,1,8,7,5,
JORDAN,46,,1,6,1,14,17,7,
KEEWAYDIN,6,,,,,5,1,,
KENNY,5,,,,,4,1,,
KENWOOD,8,,,,,6,1,1,
KING FIELD,21,,,2,,8,10,1,
LIND - BOHANON,21,,1,,2,8,6,4,
LINDEN HILLS,8,,,,,2,6,,
LOGAN PARK,9,,,1,,5,2,1,
LONGFELLOW,53,,,5,1,5,37,5,
LORING PARK,33,,,1,,4,26,2,
LOWRY HILL,10,,,,1,4,4,1,
LOWRY HILL EAST,38,,,4,2,9,22,1,
LYNDALE,24,,,1,5,4,6,8,
LYNNHURST,4,,,1,,2,1,,
MARCY HOLMES,63,,,1,2,20,36,4,
MARSHALL TERRACE,4,,1,,1,,2,,
MCKINLEY,12,,,1,3,3,4,1,
MID - CITY INDUSTRIAL,5,,,,,1,4,,
MIDTOWN PHILLIPS,28,,,3,2,6,17,,
MINNEHAHA,5,,,1,,2,2,,
MORRIS PARK,1,,,,,1,,,
NEAR - NORTH,46,,1,5,9,7,18,6,
NICOLLET ISLAND - EAST BANK,7,,,,,1,5,1,
NORTH LOOP,22,,,,1,2,16,3,
NORTHEAST PARK,10,,,,,3,7,,
NORTHROP,7,,,,1,4,2,,
PAGE,4,,,,1,1,2,,
PHILLIPS WEST,18,,1,2,,1,11,3,
POWDERHORN PARK,46,,1,3,2,12,24,4,
PROSPECT PARK - EAST RIVER ROAD,27,,,1,3,4,15,4,
REGINA,5,,,1,2,1,1,,
SEWARD,23,,1,1,1,8,10,2,
SHERIDAN,9,,,,,,7,2,
SHINGLE CREEK,7,,,,,2,4,1,
ST. ANTHONY EAST,5,,,,,,4,1,
ST. ANTHONY WEST,7,,,,,1,3,3,
STANDISH,12,,,1,1,5,4,1,
STEVENS SQUARE - LORING HEIGHTS,18,,,2,1,1,13,1,
SUMNER - GLENWOOD,7,,,1,,1,2,3,
TANGLETOWN,8,,,,,1,6,1,
UNIVERSITY OF MINNESOTA,3,,,,,,3,,
VENTURA VILLAGE,47,,1,7,,6,23,10,
VICTORY,18,,,1,3,9,5,,
WAITE PARK,14,,,1,,5,6,2,
WEBBER - CAMDEN,34,,,3,4,12,10,5,
WENONAH,9,1,1,2,2,2,,1,
WEST CALHOUN,1,,,,,,1,,
WHITTIER,54,1,2,6,6,5,27,7,
WILLARD - HAY,64,1,2,7,7,22,21,3,1
WINDOM,17,,,,2,7,7,1,
WINDOM PARK,15,,,,1,3,9,2,
