NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,69,0,1,2,7,23,33,1,2
AUDUBON PARK,173,1,1,9,8,58,85,11,0
BANCROFT,124,1,4,5,11,56,35,12,0
BELTRAMI,55,0,1,2,4,14,25,5,4
BOTTINEAU,102,1,2,13,8,28,46,3,1
BRYANT,103,0,1,11,8,35,38,9,1
BRYN - MAWR,99,6,0,0,2,24,62,5,0
CAMDEN INDUSTRIAL,21,0,0,2,4,4,8,3,0
CARAG,248,0,2,11,11,29,169,26,0
CEDAR - ISLES - DEAN,140,0,0,0,2,23,109,5,1
CEDAR RIVERSIDE,303,1,8,23,25,29,193,23,1
CENTRAL,392,0,5,62,33,70,164,57,1
CLEVELAND,166,0,3,17,19,60,50,15,2
COLUMBIA PARK,64,0,0,2,6,18,36,2,0
COMO,257,0,4,11,9,64,133,36,0
COOPER,98,0,1,1,3,43,43,6,1
CORCORAN,299,1,5,45,15,52,157,24,0
DIAMOND LAKE,88,0,0,2,4,37,41,3,1
DOWNTOWN EAST,112,0,1,4,4,6,90,7,0
DOWNTOWN WEST,2189,0,34,175,143,43,1726,66,2
EAST HARRIET,129,0,5,2,0,21,91,10,0
EAST ISLES,226,0,4,7,2,38,159,16,0
EAST PHILLIPS,316,0,10,52,49,53,123,24,5
ECCO,146,0,0,4,0,31,102,9,0
ELLIOT PARK,425,0,19,26,45,31,263,41,0
ERICSSON,98,0,1,7,3,35,46,5,1
FIELD,67,0,0,3,1,43,15,5,0
FOLWELL,454,3,10,45,67,165,105,51,8
FULTON,88,0,0,1,0,21,61,2,3
HALE,43,0,0,0,2,11,27,3,0
HARRISON,200,1,6,29,24,43,73,22,2
HAWTHORNE,455,4,7,48,66,122,157,49,2
HIAWATHA,225,0,5,4,7,64,132,10,3
HOLLAND,209,0,4,13,22,64,92,11,3
HOWE,205,0,1,9,12,70,90,22,1
HUMBOLDT INDUSTRIAL AREA,9,0,0,0,0,2,5,2,0
JORDAN,693,1,21,77,89,219,212,68,6
KEEWAYDIN,114,0,1,2,2,48,55,6,0
KENNY,52,0,2,0,0,19,25,6,0
KENWOOD,48,0,1,0,0,28,16,3,0
KING FIELD,217,0,7,12,8,64,106,19,1
LIND - BOHANON,255,1,5,20,32,105,62,28,2
LINDEN HILLS,166,0,0,4,3,32,120,7,0
LOGAN PARK,100,0,1,8,5,23,51,11,1
LONGFELLOW,630,0,12,23,31,63,478,18,5
LORING PARK,429,1,12,41,35,34,270,34,2
LOWRY HILL,166,0,1,4,3,58,81,18,1
LOWRY HILL EAST,463,0,3,34,12,69,301,43,1
LYNDALE,320,0,8,29,26,43,179,32,3
LYNNHURST,123,0,0,2,1,57,55,7,1
MARCY HOLMES,604,0,4,30,15,131,372,51,1
MARSHALL TERRACE,68,0,0,2,3,21,32,10,0
MCKINLEY,260,0,3,18,40,90,70,35,4
MID - CITY INDUSTRIAL,62,0,2,0,1,12,41,5,1
MIDTOWN PHILLIPS,416,1,6,49,50,46,236,25,3
MINNEHAHA,115,0,1,1,3,29,76,5,0
MORRIS PARK,76,0,0,0,2,39,29,5,1
NEAR - NORTH,656,6,14,62,80,109,330,51,4
NICOLLET ISLAND - EAST BANK,112,0,2,1,3,16,84,6,0
NORTH LOOP,316,0,3,24,19,46,203,20,1
NORTHEAST PARK,118,0,1,3,0,13,96,5,0
NORTHROP,116,0,0,5,5,43,51,11,1
PAGE,42,0,0,0,0,19,22,0,1
PHILLIPS WEST,297,0,5,42,28,29,169,23,1
POWDERHORN PARK,440,0,8,71,34,91,186,49,1
PROSPECT PARK - EAST RIVER ROAD,299,0,3,9,13,54,194,25,1
REGINA,85,0,3,4,7,30,35,6,0
SEWARD,399,0,4,36,22,95,195,46,1
SHERIDAN,119,0,0,7,11,25,65,11,0
SHINGLE CREEK,109,0,3,8,8,40,36,12,2
ST. ANTHONY EAST,78,0,0,4,5,18,41,10,0
ST. ANTHONY WEST,91,0,1,4,5,14,56,11,0
STANDISH,246,0,5,15,9,85,116,16,0
STEVENS SQUARE - LORING HEIGHTS,265,0,7,13,15,34,162,33,1
SUMNER - GLENWOOD,64,0,1,4,8,11,28,12,0
TANGLETOWN,156,0,0,3,5,59,83,6,0
UNIVERSITY OF MINNESOTA,84,0,3,1,3,10,57,9,1
VENTURA VILLAGE,474,3,8,90,55,47,224,42,5
VICTORY,168,0,4,11,8,62,66,17,0
WAITE PARK,137,0,3,4,7,42,72,9,0
WEBBER - CAMDEN,352,2,4,33,39,112,125,34,3
WENONAH,132,0,2,7,24,51,39,6,3
WEST CALHOUN,73,0,0,1,0,10,61,1,0
WHITTIER,958,1,11,75,60,148,570,90,3
WILLARD - HAY,513,3,12,46,76,158,163,48,7
WINDOM,176,0,7,13,12,36,101,7,0
WINDOM PARK,165,0,1,10,9,44,87,12,2
